質問,回答,参考URL
ゴミ捨てとは？,研究室内にあるゴミ箱の中身を、研究室の外の廊下のゴミ箱に捨てた後、ゴミ袋を替える。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
捨てる場所はどこ？,研究室の外の廊下にあるゴミ箱。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f1
ゴミ袋はどこ？,シンクの左上の引き出し（ポットの下）にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f2
シンク掃除とは？,シンクの上の青いスポンジ2つとクレンザーを使い、シンクを掃除した後、三角コーナーのネットとシンクのネットを交換する。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f3
三角コーナーのネットはどこ？,シンクの上の棚にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f4
スポンジはどこ？,シンクの右隅に2つの青いスポンジがある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f5
クレンザーはどこ？,シンクの上の棚にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f6
掃除機かけとは？,H206の全体に掃除機をかける。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f7
掃除機はどこ？,H206の冷蔵庫の横にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f8
バッテリーが切れた場合はどうする？,掃除機の横にある充電済バッテリーと交換する。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f9
バッテリーはどこ？,掃除機の横にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f10
ポットのお湯交換とは？,古いお湯であることに気づいた場合、お湯を沸かしなおす。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f11
次の担当者の決め方は？,御三家discordの「ゴミとシンクとお湯と掃除」チャンネルで、「/trush」「/sink」「/cleaner」と入力して、次の人をランダムで決めた後、次の人の名前を研究室のホワイトボードに書く。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f12
深町先生はアニメが好きか？,はい、深町先生はアニメが好きです。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f13
山川先生はお酒が好きか？,はい、山川先生はお酒が好きです。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f14
