質問,回答,参考URL
ゴミ捨てとは？(研究室で出たゴミを指定の場所に捨てること）,研究室内にあるゴミ箱の中身を、研究室の外の廊下のゴミ箱に捨てた後、ゴミ袋を替える。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
捨てる場所はどこ？（ゴミ置き場の場所）,研究室の外の廊下にあるゴミ箱。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
ゴミ袋はどこ？（ゴミ袋の保管場所）,シンクの左上の引き出し（ポットの下）にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
シンク掃除とは？（キッチンシンクの掃除方法）,シンクの上の青いスポンジ2つとクレンザーを使い、シンクを掃除した後、三角コーナーのネットとシンクのネットを交換する。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
三角コーナーのネットはどこ？（シンクの三角コーナー用ネットの場所）,シンクの上の棚にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
スポンジはどこ？（キッチン用スポンジの場所）,シンクの右隅に2つの青いスポンジがある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
クレンザーはどこ？（清掃用クレンザーの場所）,シンクの上の棚にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
掃除機かけとは？（床の掃除機がけ）,H206の全体に掃除機をかける。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
掃除機はどこ？（掃除機の保管場所）,H206の冷蔵庫の横にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
バッテリーが切れた場合はどうする？（バッテリー切れ時の対処方法）,掃除機の横にある充電済バッテリーと交換する。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
バッテリーはどこ？（バッテリーの保管場所）,掃除機の横にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
ポットのお湯交換とは？（ポットに入っているお湯を新しいお湯と交換すること）,古いお湯であることに気づいた場合、お湯を沸かしなおす。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
次の担当者の決め方は？（次の担当者を決める方法）,御三家discordの「ゴミとシンクとお湯と掃除」チャンネルで、「/trush」「/sink」「/cleaner」と入力して、次の人をランダムで決めた後、次の人の名前を研究室のホワイトボードに書く。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
プリンターの使い方は？（プリンターの使用方法）,プリンターから出ているUSBと自分のパソコンを繋げて、プリンターを「RICOH IPSiO SP C820 H206」にしたら使える。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
冷蔵庫の飲み物や食べ物の買い方は？（飲み物や食べ物の購入方法）,冷蔵庫横の棚の中にお金を入れて、冷蔵庫からとる。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
あじまんってなに？(山形県を中心に冬季限定でチェーン展開している大判焼きのお店),別名おやき、今川焼き　花心の大好物　あんこがずっしり詰まっていてとても美味　a.k.a.ベイクドモチョチョ by しゅーと,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
研究室から最後に帰る時することは？(帰宅時の確認事項や施錠手順),電気とエアコンを切り、扉を閉めて鍵がかかることを確認してから帰る。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
冷蔵庫の食べ物飲み物の買い方は？(冷蔵庫内の食べ物や飲み物の購入方法、支払い手順),冷蔵庫に貼っている紙を見て、欲しいものの値段を確認し、冷蔵庫の隣にある棚の中にお金を払う。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
カッターの場所はどこ？(カッターの保管場所),スチールラックの上から3段目にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
付箋の場所はどこ？(付箋の保管場所),スチールラックの上から3段目にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
壁ホワイトボードの消し方は？(ホワイトボードの消去方法と使用する道具),ティッシュで綺麗に擦って消すor 水拭きしてから乾拭き　,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
壁ホワイトボードは何で書けばいい？(ホワイトボードに適したペンの種類と保管場所),壁ホワイトボードの入り口側に貼ってあるクレヨンを使用して書いて,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
研究室のUSBメモリはどこにある?(USBメモリの保管場所),スチールラックの上から3段目にある。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
H207 大学院部屋とH205深町研究室の鍵はどこにあるの?（鍵の保管場所と管理方法）,スチールラックの上から3段目にある。使ったら戻す。,https://ohoshi-sora-photon.notion.site/1325354a3da94fa88425afde0ad9d0f0
